utcdate,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-07-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,264,231,1496
2024-07-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,169,156,860
2024-07-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,252,210,2813
2024-07-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,251,207,3051
2024-07-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,323,338,1352
2024-07-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,269,242,1252
2024-07-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,248,224,1217
2024-07-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,239,219,1004
2024-07-01T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,300,284,1434
2024-07-01T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,250,203,1711
2024-07-01T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,317,306,1492
2024-07-01T00:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,195,153,2312
2024-07-01T00:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,219,193,2769
2024-07-01T00:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,285,246,4385
2024-07-01T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,498,400,6949
2024-07-01T00:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,199,146,4043
2024-07-01T00:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,370,341,2170
2024-07-01T00:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,264,237,1013
2024-07-01T00:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,347,287,2909
2024-07-01T00:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,219,164,2082
2024-07-01T00:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,388,313,5548
2024-07-01T00:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,14,11,60
