utcdate,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-03-01T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_1,86,75,516
2024-03-01T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_2,22,20,44
2024-03-01T00:00:00.000Z,Hietaniemi,OG23,OG23_Hietaniemi_1,41,32,491
2024-03-01T00:00:00.000Z,Hietaniemi,OG24,OG24_Hietaniemi_1,83,89,1251
2024-03-01T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_1,48,50,190
2024-03-01T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_2,70,79,312
2024-03-01T00:00:00.000Z,Hietaniemi,OG31,OG31_Hietaniemi_1,92,82,448
2024-03-01T00:00:00.000Z,Hietaniemi,OG41,OG41_Hietaniemi_1,46,49,219
2024-03-01T00:00:00.000Z,Hietaniemi,OG70,OG70_Hietaniemi_1,11,11,26
2024-03-01T00:00:00.000Z,Hietaniemi,OG72,OG72_Hietaniemi_1,30,30,274
2024-03-01T00:00:00.000Z,Hietaniemi,OG80,OG80_Hietaniemi_1,36,27,472
2024-03-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,55,56,205
2024-03-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,1,1,4
2024-03-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,23,19,122
2024-03-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,20,14,284
2024-03-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,100,87,299
2024-03-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,18,18,94
2024-03-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,23,18,95
2024-03-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,1,1,0
2024-03-01T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,62,60,228
2024-03-01T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,55,49,190
2024-03-01T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,56,54,253
2024-03-01T00:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,25,57,429
2024-03-01T00:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,28,26,353
2024-03-01T00:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,77,66,802
2024-03-01T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,148,124,1550
2024-03-01T00:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,35,25,545
