utcdate,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-09-09T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,150,147,648
2024-09-09T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,230,183,2511
2024-09-09T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,63,54,867
2024-09-09T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,285,308,982
2024-09-09T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,291,268,1361
2024-09-09T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,206,191,992
2024-09-09T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,204,180,956
2024-09-09T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,71,60,551
2024-09-09T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,147,143,823
2024-09-09T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,281,272,1187
2024-09-09T00:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,199,191,2272
2024-09-09T00:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,294,251,4708
2024-09-09T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,454,348,6022
2024-09-09T00:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,162,113,3008
2024-09-09T00:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,364,342,1771
2024-09-09T00:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,286,283,1294
2024-09-09T00:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,352,297,3056
2024-09-09T00:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,31,32,243
2024-09-09T00:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,385,323,5503
2024-09-09T00:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,39,31,521
2024-09-09T00:00:00.000Z,Pirkkola,OGFA41,OGFA41_Pirkkola,47,51,100
2024-09-10T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,157,124,765
2024-09-10T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,174,151,1821
2024-09-10T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,301,300,1374
