utcdate,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-07-08T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,241,220,1597
2024-07-08T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,155,144,698
2024-07-08T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,270,227,3311
2024-07-08T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,220,183,2743
2024-07-08T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,394,404,1507
2024-07-08T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,287,285,1265
2024-07-08T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,234,214,1160
2024-07-08T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,264,266,1133
2024-07-08T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,278,254,1355
2024-07-08T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,263,224,1663
2024-07-08T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,294,265,1492
2024-07-08T00:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,75,81,16
2024-07-08T00:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,244,225,3072
2024-07-08T00:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,311,263,4796
2024-07-08T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,512,380,6860
2024-07-08T00:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,192,139,3738
2024-07-08T00:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,421,414,2061
2024-07-08T00:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,317,310,1430
2024-07-08T00:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,397,311,3607
2024-07-08T00:00:00.000Z,Pirkkola,OG82,OG82_Pirkkola,245,186,3428
2024-07-08T00:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,284,220,2546
2024-07-08T00:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,371,311,5328
2024-07-08T00:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,37,28,383
2024-07-08T00:00:00.000Z,Pirkkola,OGFA41,OGFA41_Pirkkola,25,22,66
2024-07-09T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,198,165,1116
2024-07-09T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,190,170,893
