utcdate,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-04-01T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_1,170,143,1220
2024-04-01T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_2,156,141,875
2024-04-01T00:00:00.000Z,Hietaniemi,OG23,OG23_Hietaniemi_1,168,137,2196
2024-04-01T00:00:00.000Z,Hietaniemi,OG24,OG24_Hietaniemi_1,305,227,4886
2024-04-01T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_1,187,174,717
2024-04-01T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_2,162,152,897
2024-04-01T00:00:00.000Z,Hietaniemi,OG31,OG31_Hietaniemi_1,262,246,1598
2024-04-01T00:00:00.000Z,Hietaniemi,OG41,OG41_Hietaniemi_1,194,176,1052
2024-04-01T00:00:00.000Z,Hietaniemi,OG70,OG70_Hietaniemi_1,152,125,1422
2024-04-01T00:00:00.000Z,Hietaniemi,OG72,OG72_Hietaniemi_1,127,114,1402
2024-04-01T00:00:00.000Z,Hietaniemi,OG80,OG80_Hietaniemi_1,202,158,3520
2024-04-01T00:00:00.000Z,Hietaniemi,OG82,og82_Hietaniemi,113,64,1247
2024-04-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,217,191,1305
2024-04-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,154,143,719
2024-04-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,176,149,1808
2024-04-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,184,142,2443
2024-04-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,272,276,1092
2024-04-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,229,227,1237
2024-04-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,211,192,1120
2024-04-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,180,160,874
2024-04-01T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,147,126,774
2024-04-01T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,170,145,878
2024-04-01T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,202,191,950
2024-04-01T00:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,119,119,1256
2024-04-01T00:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,237,194,3448
2024-04-01T00:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,276,218,4629
2024-04-01T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,392,300,5148
2024-04-01T00:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,122,86,2426
2024-04-01T00:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,346,339,1637
2024-04-01T00:00:00.000Z,Pirkkola,OG31,OG31_Pirkkola,329,298,1661
2024-04-01T00:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,256,245,1110
2024-04-01T00:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,236,203,2331
2024-04-01T00:00:00.000Z,Pirkkola,OG82,OG82_Pirkkola,171,119,2113
2024-04-01T00:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,221,180,2024
2024-04-01T00:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,297,252,4179
2024-04-01T00:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,29,23,418
2024-04-01T00:00:00.000Z,Pirkkola,OGFA41,OGFA41_Pirkkola,25,26,55
2024-04-02T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_1,54,50,216
2024-04-02T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_2,32,27,143
2024-04-02T00:00:00.000Z,Hietaniemi,OG23,OG23_Hietaniemi_1,37,32,471
2024-04-02T00:00:00.000Z,Hietaniemi,OG24,OG24_Hietaniemi_1,83,62,1346
2024-04-02T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_1,28,27,108
2024-04-02T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_2,38,39,138
2024-04-02T00:00:00.000Z,Hietaniemi,OG31,OG31_Hietaniemi_1,36,27,174
2024-04-02T00:00:00.000Z,Hietaniemi,OG41,OG41_Hietaniemi_1,34,34,129
2024-04-02T00:00:00.000Z,Hietaniemi,OG70,OG70_Hietaniemi_1,32,28,230
2024-04-02T00:00:00.000Z,Hietaniemi,OG72,OG72_Hietaniemi_1,22,19,178
2024-04-02T00:00:00.000Z,Hietaniemi,OG80,OG80_Hietaniemi_1,47,34,738
2024-04-02T00:00:00.000Z,Hietaniemi,OG82,og82_Hietaniemi,45,8,422
2024-04-02T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,68,63,308
