utcdate,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-06-16T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_1,347,315,2235
2024-06-16T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_2,386,353,1856
2024-06-16T00:00:00.000Z,Hietaniemi,OG23,OG23_Hietaniemi_1,379,307,6401
2024-06-16T00:00:00.000Z,Hietaniemi,OG24,OG24_Hietaniemi_1,429,302,7316
2024-06-16T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_1,337,363,1367
2024-06-16T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_2,367,368,1650
2024-06-16T00:00:00.000Z,Hietaniemi,OG31,OG31_Hietaniemi_1,418,409,2127
2024-06-16T00:00:00.000Z,Hietaniemi,OG41,OG41_Hietaniemi_1,336,315,1788
2024-06-16T00:00:00.000Z,Hietaniemi,OG70,OG70_Hietaniemi_1,272,202,2534
2024-06-16T00:00:00.000Z,Hietaniemi,OG72,OG72_Hietaniemi_1,300,247,2859
2024-06-16T00:00:00.000Z,Hietaniemi,OG80,OG80_Hietaniemi_1,331,235,5352
2024-06-16T00:00:00.000Z,Hietaniemi,OG82,og82_Hietaniemi,189,158,1878
2024-06-16T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,167,138,1029
2024-06-16T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,150,130,670
2024-06-16T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,236,194,2288
2024-06-16T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,189,160,2408
2024-06-16T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,287,303,915
2024-06-16T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,318,303,1550
2024-06-16T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,227,200,1025
2024-06-16T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,184,166,843
2024-06-16T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,207,167,1138
2024-06-16T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,167,129,948
2024-06-16T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,192,173,834
2024-06-16T00:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,320,250,3202
2024-06-16T00:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,158,127,2100
2024-06-16T00:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,270,239,4021
2024-06-16T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,358,262,4958
2024-06-16T00:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,156,115,2801
2024-06-16T00:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,366,363,1503
2024-06-16T00:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,248,231,1238
2024-06-16T00:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,330,273,3092
2024-06-16T00:00:00.000Z,Pirkkola,OG82,OG82_Pirkkola,199,153,2549
2024-06-16T00:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,185,166,1608
2024-06-16T00:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,317,244,4854
2024-06-16T00:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,9,9,22
2024-06-16T00:00:00.000Z,Pirkkola,OGFA41,OGFA41_Pirkkola,28,28,105
2024-06-17T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_1,269,240,1855
2024-06-17T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_2,225,196,1087
2024-06-17T00:00:00.000Z,Hietaniemi,OG23,OG23_Hietaniemi_1,253,198,3861
2024-06-17T00:00:00.000Z,Hietaniemi,OG24,OG24_Hietaniemi_1,338,264,5433
2024-06-17T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_1,298,296,1260
2024-06-17T00:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_2,275,277,950
2024-06-17T00:00:00.000Z,Hietaniemi,OG31,OG31_Hietaniemi_1,372,364,1768
2024-06-17T00:00:00.000Z,Hietaniemi,OG41,OG41_Hietaniemi_1,300,290,1502
2024-06-17T00:00:00.000Z,Hietaniemi,OG70,OG70_Hietaniemi_1,229,173,1600
2024-06-17T00:00:00.000Z,Hietaniemi,OG72,OG72_Hietaniemi_1,256,204,2822
2024-06-17T00:00:00.000Z,Hietaniemi,OG80,OG80_Hietaniemi_1,247,188,3739
2024-06-17T00:00:00.000Z,Hietaniemi,OG82,og82_Hietaniemi,165,138,1576
2024-06-17T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,195,165,1073
2024-06-17T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,96,95,490
2024-06-17T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,176,142,1834
2024-06-17T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,139,112,1765
2024-06-17T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,261,258,888
2024-06-17T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,247,251,995
2024-06-17T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,162,146,742
2024-06-17T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,144,144,634
2024-06-17T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,248,208,1165
2024-06-17T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,193,181,881
2024-06-17T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,190,199,791
2024-06-17T00:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,293,248,2588
2024-06-17T00:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,107,99,1305
2024-06-17T00:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,261,214,4172
2024-06-17T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,408,312,5019
2024-06-17T00:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,132,107,2353
2024-06-17T00:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,336,338,1529
2024-06-17T00:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,223,216,1044
