utctimestamp,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-09-02T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,1,1,0
2024-09-02T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,1,0,0
2024-09-02T01:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,1,1,0
2024-09-02T02:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,6,7,71
2024-09-02T02:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,8,9,47
2024-09-02T02:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,8,11,26
2024-09-02T02:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,1,1,0
2024-09-02T03:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,2,2,0
2024-09-02T03:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,4,4,14
2024-09-02T04:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,3,3,7
2024-09-02T04:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,1,1,28
2024-09-02T04:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,8,4,110
2024-09-02T04:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,7,6,64
2024-09-02T04:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,4,5,5
2024-09-02T04:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,7,7,54
2024-09-02T05:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,3,2,15
2024-09-02T05:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,1,1,0
2024-09-02T05:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,10,11,18
2024-09-02T05:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,7,7,35
2024-09-02T05:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,12,13,32
2024-09-02T05:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,1,1,0
2024-09-02T05:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,9,14,31
2024-09-02T05:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,3,3,6
2024-09-02T05:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,10,6,155
2024-09-02T05:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,11,6,234
2024-09-02T05:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,18,19,256
2024-09-02T05:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,13,15,69
2024-09-02T05:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,9,9,74
2024-09-02T05:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,9,10,55
2024-09-02T05:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,21,16,370
2024-09-02T06:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,1,1,4
2024-09-02T06:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,6,6,24
2024-09-02T06:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,19,15,188
2024-09-02T06:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,13,19,28
2024-09-02T06:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,1,1,1
2024-09-02T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,11,11,62
2024-09-02T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,14,14,40
2024-09-02T06:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,9,9,26
2024-09-02T06:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,5,5,12
2024-09-02T06:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,3,2,32
2024-09-02T06:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,9,7,175
2024-09-02T06:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,16,13,214
2024-09-02T06:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,2,2,49
2024-09-02T06:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,17,13,84
2024-09-02T06:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,9,9,45
2024-09-02T06:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,7,10,37
2024-09-02T06:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,16,13,217
2024-09-02T06:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,7,4,86
2024-09-02T06:00:00.000Z,Pirkkola,OGFA41,OGFA41_Pirkkola,11,6,34
2024-09-02T07:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,4,5,16
2024-09-02T07:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,9,6,114
2024-09-02T07:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,20,27,59
2024-09-02T07:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,12,14,61
2024-09-02T07:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,11,10,58
2024-09-02T07:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,11,10,57
2024-09-02T07:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,1,0,0
2024-09-02T07:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,9,7,43
2024-09-02T07:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,6,5,75
2024-09-02T07:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,7,6,100
2024-09-02T07:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,10,6,149
2024-09-02T07:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,15,11,339
2024-09-02T07:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,9,10,42
2024-09-02T07:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,14,12,57
2024-09-02T07:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,14,11,59
2024-09-02T07:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,21,14,214
2024-09-02T07:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,6,5,44
2024-09-02T07:00:00.000Z,Pirkkola,OGFA41,OGFA41_Pirkkola,3,3,9
2024-09-02T08:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,4,7,6
2024-09-02T08:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,10,10,109
2024-09-02T08:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,4,6,14
2024-09-02T08:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,13,11,57
2024-09-02T08:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,7,6,26
2024-09-02T08:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,10,13,20
2024-09-02T08:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,1,1,5
2024-09-02T08:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,5,6,15
2024-09-02T08:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,3,3,11
2024-09-02T08:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,6,5,27
2024-09-02T08:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,9,6,98
2024-09-02T08:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,8,9,9
2024-09-02T08:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,2,2,2
2024-09-02T08:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,8,6,51
2024-09-02T08:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,14,16,191
2024-09-02T09:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,5,3,11
2024-09-02T09:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,8,6,62
2024-09-02T09:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,7,4,43
2024-09-02T09:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,2,2,12
2024-09-02T09:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,3,3,20
2024-09-02T09:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,4,4,25
2024-09-02T09:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,5,4,13
2024-09-02T09:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,15,13,50
2024-09-02T09:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,1,1,17
2024-09-02T09:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,6,5,73
2024-09-02T09:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,19,20,276
2024-09-02T09:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,5,4,9
2024-09-02T09:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,7,6,26
2024-09-02T09:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,4,3,43
2024-09-02T09:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,12,9,81
2024-09-02T10:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,12,10,35
2024-09-02T10:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,9,8,129
2024-09-02T10:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,19,19,48
2024-09-02T10:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,12,16,62
