utctimestamp,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-07-08T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,1,1,0
2024-07-08T00:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,1,0,0
2024-07-08T01:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,1,1,0
2024-07-08T02:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,10,12,27
2024-07-08T02:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,1,1,0
2024-07-08T02:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,5,3,58
2024-07-08T02:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,9,9,46
2024-07-08T03:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,2,1,5
2024-07-08T03:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,1,1,0
2024-07-08T03:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,1,1,0
2024-07-08T03:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,1,1,0
2024-07-08T03:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,5,5,71
2024-07-08T03:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,31,29,237
2024-07-08T03:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,8,7,16
2024-07-08T03:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,10,7,33
2024-07-08T03:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,4,3,32
2024-07-08T03:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,8,6,30
2024-07-08T04:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,1,0,6
2024-07-08T04:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,1,1,1
2024-07-08T04:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,4,4,63
2024-07-08T04:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,8,9,20
2024-07-08T04:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,1,1,1
2024-07-08T04:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,1,1,0
2024-07-08T04:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,6,5,94
2024-07-08T04:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,8,7,46
2024-07-08T04:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,7,5,26
2024-07-08T04:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,4,7,18
2024-07-08T04:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,6,5,18
