utctimestamp,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-09-30T02:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,1,1,0
2024-09-30T02:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,7,3,93
2024-09-30T03:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,9,8,117
2024-09-30T03:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,21,16,215
2024-09-30T03:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,4,5,14
2024-09-30T03:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,5,4,40
2024-09-30T04:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,2,1,16
2024-09-30T04:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,3,2,52
2024-09-30T04:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,12,9,207
2024-09-30T04:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,10,7,28
2024-09-30T04:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,5,6,9
2024-09-30T04:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,1,1,12
2024-09-30T04:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,6,5,56
2024-09-30T05:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,7,5,44
2024-09-30T05:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,2,2,23
2024-09-30T05:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,2,1,42
2024-09-30T05:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,14,14,44
2024-09-30T05:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,2,3,3
2024-09-30T05:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,2,3,6
2024-09-30T05:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,3,3,10
2024-09-30T06:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,10,10,30
2024-09-30T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,12,14,55
2024-09-30T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,6,6,22
2024-09-30T06:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,11,11,21
2024-09-30T06:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,10,8,153
2024-09-30T06:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,11,9,168
2024-09-30T06:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,3,2,48
2024-09-30T06:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,26,27,122
2024-09-30T06:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,6,5,30
2024-09-30T06:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,12,12,95
2024-09-30T07:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,14,9,117
2024-09-30T07:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,9,7,91
2024-09-30T07:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,10,12,30
2024-09-30T07:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,7,7,53
2024-09-30T07:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,6,5,32
2024-09-30T07:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,9,8,58
2024-09-30T07:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,3,3,13
2024-09-30T07:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,12,9,118
2024-09-30T07:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,3,3,32
2024-09-30T07:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,13,12,72
2024-09-30T07:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,11,10,32
2024-09-30T07:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,8,6,145
