utctimestamp,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-10-07T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,3,3,4
2024-10-07T00:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,1,1,0
2024-10-07T01:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,1,1,0
2024-10-07T01:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,1,1,0
2024-10-07T02:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,5,5,60
2024-10-07T02:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,4,3,54
2024-10-07T02:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,8,9,46
2024-10-07T02:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,8,11,22
2024-10-07T03:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,9,8,184
2024-10-07T03:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,3,3,14
2024-10-07T03:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,5,6,13
2024-10-07T04:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,3,3,19
2024-10-07T04:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,20,14,223
2024-10-07T04:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,15,11,201
2024-10-07T04:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,12,8,36
2024-10-07T04:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,6,6,10
2024-10-07T04:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,3,2,26
2024-10-07T04:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,10,11,105
2024-10-07T05:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,1,1,0
2024-10-07T05:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,6,5,51
2024-10-07T05:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,15,16,34
2024-10-07T05:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,5,4,22
2024-10-07T05:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,11,7,182
2024-10-07T05:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,8,7,91
2024-10-07T05:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,5,3,39
2024-10-07T05:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,11,9,61
2024-10-07T05:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,3,4,6
2024-10-07T05:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,1,1,18
2024-10-07T05:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,10,8,170
2024-10-07T06:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,3,2,10
2024-10-07T06:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,7,8,56
2024-10-07T06:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,11,13,15
2024-10-07T06:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,4,4,10
2024-10-07T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,21,22,87
2024-10-07T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,2,1,3
2024-10-07T06:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,5,4,64
2024-10-07T06:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,9,5,107
2024-10-07T06:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,4,4,65
2024-10-07T06:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,30,29,149
2024-10-07T06:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,5,6,10
2024-10-07T06:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,12,10,141
2024-10-07T06:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,13,12,178
2024-10-07T07:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,18,14,124
2024-10-07T07:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,20,19,185
2024-10-07T07:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,16,18,54
2024-10-07T07:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,22,21,163
2024-10-07T07:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,17,16,118
2024-10-07T07:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,14,14,81
2024-10-07T07:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,1,1,5
