utctimestamp,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-05-16T00:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_2,1,1,0
2024-05-16T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,2,2,0
2024-05-16T01:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,1,1,0
2024-05-16T01:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,2,2,0
2024-05-16T01:00:00.000Z,Pirkkola,OG82,OG82_Pirkkola,1,1,0
2024-05-16T01:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,1,1,0
2024-05-16T02:00:00.000Z,Hietaniemi,OG70,OG70_Hietaniemi_1,1,1,0
2024-05-16T02:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,1,1,0
2024-05-16T02:00:00.000Z,Pirkkola,OG82,OG82_Pirkkola,1,1,0
2024-05-16T02:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,1,1,0
2024-05-16T03:00:00.000Z,Hietaniemi,OG23,OG23_Hietaniemi_1,2,1,29
2024-05-16T03:00:00.000Z,Hietaniemi,OG41,OG41_Hietaniemi_1,3,2,31
2024-05-16T03:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,1,1,0
2024-05-16T03:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,1,1,4
2024-05-16T03:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,1,1,0
2024-05-16T03:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,4,3,20
2024-05-16T03:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,4,3,17
2024-05-16T03:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,3,3,44
2024-05-16T03:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,4,2,36
2024-05-16T03:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,8,5,21
2024-05-16T03:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,1,1,0
2024-05-16T03:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,10,6,128
2024-05-16T04:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_1,2,1,16
2024-05-16T04:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_2,15,15,92
2024-05-16T04:00:00.000Z,Hietaniemi,OG23,OG23_Hietaniemi_1,4,4,84
2024-05-16T04:00:00.000Z,Hietaniemi,OG24,OG24_Hietaniemi_1,13,10,229
2024-05-16T04:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_1,4,4,21
2024-05-16T04:00:00.000Z,Hietaniemi,OG31,OG31_Hietaniemi_1,9,11,71
2024-05-16T04:00:00.000Z,Hietaniemi,OG41,OG41_Hietaniemi_1,21,18,163
2024-05-16T04:00:00.000Z,Hietaniemi,OG70,OG70_Hietaniemi_1,5,4,69
2024-05-16T04:00:00.000Z,Hietaniemi,OG72,OG72_Hietaniemi_1,12,11,192
2024-05-16T04:00:00.000Z,Hietaniemi,OG80,OG80_Hietaniemi_1,6,5,144
2024-05-16T04:00:00.000Z,Hietaniemi,OG82,og82_Hietaniemi,7,5,112
2024-05-16T04:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,2,1,9
2024-05-16T04:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,1,1,4
2024-05-16T04:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,5,5,35
2024-05-16T04:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,2,1,28
2024-05-16T04:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,5,4,8
2024-05-16T04:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,1,1,2
2024-05-16T04:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,1,1,6
2024-05-16T04:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,2,2,1
2024-05-16T04:00:00.000Z,Pirkkola,OG14,CL14_Pirkkola,4,2,28
2024-05-16T04:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,8,5,126
2024-05-16T04:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,14,12,230
2024-05-16T04:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,15,12,247
2024-05-16T04:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,18,15,58
2024-05-16T04:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,11,13,78
2024-05-16T04:00:00.000Z,Pirkkola,OG82,OG82_Pirkkola,10,10,93
2024-05-16T04:00:00.000Z,Pirkkola,OG85,OG85_Pirkkola,6,5,73
2024-05-16T04:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,16,15,179
2024-05-16T05:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_1,1,1,0
2024-05-16T05:00:00.000Z,Hietaniemi,OG10,OG10_Hietaniemi_2,15,10,62
2024-05-16T05:00:00.000Z,Hietaniemi,OG23,OG23_Hietaniemi_1,12,7,138
2024-05-16T05:00:00.000Z,Hietaniemi,OG24,OG24_Hietaniemi_1,13,7,121
2024-05-16T05:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_1,1,1,0
2024-05-16T05:00:00.000Z,Hietaniemi,OG30,OG30_Hietaniemi_2,4,4,9
2024-05-16T05:00:00.000Z,Hietaniemi,OG31,OG31_Hietaniemi_1,8,13,24
2024-05-16T05:00:00.000Z,Hietaniemi,OG70,OG70_Hietaniemi_1,10,6,113
2024-05-16T05:00:00.000Z,Hietaniemi,OG72,OG72_Hietaniemi_1,14,10,87
2024-05-16T05:00:00.000Z,Hietaniemi,OG82,og82_Hietaniemi,1,1,8
2024-05-16T05:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,9,7,19
2024-05-16T05:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,26,28,97
2024-05-16T05:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,9,9,122
2024-05-16T05:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,7,9,100
2024-05-16T05:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,12,15,48
2024-05-16T05:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,15,14,107
2024-05-16T05:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,12,11,60
2024-05-16T05:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,1,1,5
2024-05-16T05:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,12,12,39
2024-05-16T05:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,3,4,4
