utctimestamp,area,groupId,trackableId,usageMinutes,sets,repetitions
2021-06-01T00:00:00.000Z,Hietaniemi,OG10,OG10_10268,0,0,0
2021-06-01T00:00:00.000Z,Hietaniemi,OG23,OG23_10270,0,0,0
2021-06-01T00:00:00.000Z,Hietaniemi,OG30,OG30_10282,9,10,51
2021-06-01T00:00:00.000Z,Hietaniemi,OG31,OG31_10294,0,0,0
2021-06-01T00:00:00.000Z,Hietaniemi,OG41,OG41_10273,5,5,17
2021-06-01T00:00:00.000Z,Hietaniemi,OG70,OG70_10250,0,0,0
2021-06-01T00:00:00.000Z,Hietaniemi,OG80,OG80_10298,4,4,89
2021-06-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,0,0,0
2021-06-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,1,1,0
2021-06-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,0,0,0
2021-06-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,0,0,0
2021-06-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,0,0,0
2021-06-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,0,0,0
2021-06-01T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,0,0,0
2021-06-01T01:00:00.000Z,Hietaniemi,OG10,OG10_10268,0,0,0
2021-06-01T01:00:00.000Z,Hietaniemi,OG23,OG23_10270,0,0,0
2021-06-01T01:00:00.000Z,Hietaniemi,OG30,OG30_10282,55,54,299
2021-06-01T01:00:00.000Z,Hietaniemi,OG31,OG31_10294,3,3,15
2021-06-01T01:00:00.000Z,Hietaniemi,OG41,OG41_10273,1,1,3
2021-06-01T01:00:00.000Z,Hietaniemi,OG70,OG70_10250,0,0,0
2021-06-01T01:00:00.000Z,Hietaniemi,OG80,OG80_10298,1,1,0
2021-06-01T01:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,0,0,0
2021-06-01T02:00:00.000Z,Hietaniemi,OG10,OG10_10268,0,0,0
2021-06-01T02:00:00.000Z,Hietaniemi,OG23,OG23_10270,0,0,0
2021-06-01T02:00:00.000Z,Hietaniemi,OG30,OG30_10282,59,48,806
2021-06-01T02:00:00.000Z,Hietaniemi,OG31,OG31_10294,1,1,0
2021-06-01T02:00:00.000Z,Hietaniemi,OG41,OG41_10273,0,0,0
2021-06-01T02:00:00.000Z,Hietaniemi,OG70,OG70_10250,0,0,0
2021-06-01T02:00:00.000Z,Hietaniemi,OG80,OG80_10298,0,0,0
2021-06-01T02:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,3,2,17
2021-06-01T02:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,0,0,0
2021-06-01T02:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,3,4,39
2021-06-01T02:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,0,0,0
2021-06-01T02:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,3,3,23
2021-06-01T02:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,0,0,0
2021-06-01T02:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,0,0,0
2021-06-01T02:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,0,0,0
2021-06-01T02:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,0,0,0
2021-06-01T02:00:00.000Z,Pirkkola,OG23,OG23_357,7,5,79
2021-06-01T02:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,5,5,3
2021-06-01T03:00:00.000Z,Hietaniemi,OG10,OG10_10268,15,17,46
2021-06-01T03:00:00.000Z,Hietaniemi,OG23,OG23_10270,15,12,249
2021-06-01T03:00:00.000Z,Hietaniemi,OG30,OG30_10282,11,10,63
2021-06-01T03:00:00.000Z,Hietaniemi,OG31,OG31_10294,19,20,47
2021-06-01T03:00:00.000Z,Hietaniemi,OG41,OG41_10273,7,6,48
2021-06-01T03:00:00.000Z,Hietaniemi,OG70,OG70_10250,0,0,0
2021-06-01T03:00:00.000Z,Hietaniemi,OG80,OG80_10298,5,3,51
2021-06-01T03:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,7,7,14
2021-06-01T03:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,0,0,0
2021-06-01T03:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,11,10,54
2021-06-01T03:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,3,2,65
