utcdate,area,groupId,trackableId,usageMinutes,sets,repetitions
2022-04-01T00:00:00.000Z,Hietaniemi,OG10,OG10_10268,81,71,198
2022-04-01T00:00:00.000Z,Hietaniemi,OG23,OG23_10270,73,58,708
2022-04-01T00:00:00.000Z,Hietaniemi,OG24,OG24_10278,95,80,1346
2022-04-01T00:00:00.000Z,Hietaniemi,OG30,OG30_10282,144,145,495
2022-04-01T00:00:00.000Z,Hietaniemi,OG31,OG31_10294,148,140,585
2022-04-01T00:00:00.000Z,Hietaniemi,OG41,OG41_10273,123,117,706
2022-04-01T00:00:00.000Z,Hietaniemi,OG70,OG70_10250,50,36,353
2022-04-01T00:00:00.000Z,Hietaniemi,OG80,OG80_10298,87,78,1253
2022-04-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,0,0,0
2022-04-01T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,17,17,5
2022-04-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,42,42,176
2022-04-01T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,24,20,233
2022-04-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,0,0,0
2022-04-01T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,0,0,0
2022-04-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,37,38,176
2022-04-01T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,0,0,0
2022-04-01T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,85,82,263
2022-04-02T00:00:00.000Z,Hietaniemi,OG10,OG10_10268,72,57,281
2022-04-02T00:00:00.000Z,Hietaniemi,OG23,OG23_10270,109,85,1176
2022-04-02T00:00:00.000Z,Hietaniemi,OG24,OG24_10278,58,51,849
2022-04-02T00:00:00.000Z,Hietaniemi,OG30,OG30_10282,222,222,994
2022-04-02T00:00:00.000Z,Hietaniemi,OG31,OG31_10294,91,80,440
2022-04-02T00:00:00.000Z,Hietaniemi,OG41,OG41_10273,95,96,574
2022-04-02T00:00:00.000Z,Hietaniemi,OG70,OG70_10250,70,61,490
2022-04-02T00:00:00.000Z,Hietaniemi,OG80,OG80_10298,113,91,1644
2022-04-02T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,0,0,0
2022-04-02T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,67,81,538
2022-04-02T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,98,76,649
2022-04-02T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,38,32,360
2022-04-02T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,0,0,0
2022-04-02T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,0,0,0
2022-04-02T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,73,72,223
2022-04-02T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,0,0,0
2022-04-02T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,43,45,127
2022-04-03T00:00:00.000Z,Hietaniemi,OG10,OG10_10268,153,122,580
2022-04-03T00:00:00.000Z,Hietaniemi,OG23,OG23_10270,100,94,1188
2022-04-03T00:00:00.000Z,Hietaniemi,OG24,OG24_10278,108,83,1643
2022-04-03T00:00:00.000Z,Hietaniemi,OG30,OG30_10282,201,205,756
2022-04-03T00:00:00.000Z,Hietaniemi,OG31,OG31_10294,169,149,830
2022-04-03T00:00:00.000Z,Hietaniemi,OG41,OG41_10273,121,103,729
2022-04-03T00:00:00.000Z,Hietaniemi,OG70,OG70_10250,58,48,500
2022-04-03T00:00:00.000Z,Hietaniemi,OG80,OG80_10298,132,111,1926
2022-04-03T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,0,0,0
2022-04-03T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,20,27,105
2022-04-03T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,59,53,454
2022-04-03T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,74,56,679
2022-04-03T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,0,0,0
2022-04-03T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,0,0,0
2022-04-03T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,70,65,252
2022-04-03T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,0,0,0
2022-04-04T00:00:00.000Z,Hietaniemi,OG10,OG10_10268,30,31,102
2022-04-04T00:00:00.000Z,Hietaniemi,OG23,OG23_10270,27,22,306
2022-04-04T00:00:00.000Z,Hietaniemi,OG24,OG24_10278,78,70,1334
2022-04-04T00:00:00.000Z,Hietaniemi,OG30,OG30_10282,80,87,347
2022-04-04T00:00:00.000Z,Hietaniemi,OG31,OG31_10294,58,65,242
2022-04-04T00:00:00.000Z,Hietaniemi,OG41,OG41_10273,49,47,289
2022-04-04T00:00:00.000Z,Hietaniemi,OG70,OG70_10250,15,15,78
2022-04-04T00:00:00.000Z,Hietaniemi,OG80,OG80_10298,58,51,1047
2022-04-04T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_1,0,0,0
2022-04-04T00:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,4,3,4
2022-04-04T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,18,14,110
2022-04-04T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,19,18,161
2022-04-04T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,0,0,0
2022-04-04T00:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,0,0,0
2022-04-04T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,10,11,24
2022-04-04T00:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,0,0,0
2022-04-04T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,3,3,2
2022-04-04T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,1,0,0
2022-04-05T00:00:00.000Z,Hietaniemi,OG10,OG10_10268,30,25,152
2022-04-05T00:00:00.000Z,Hietaniemi,OG23,OG23_10270,37,27,383
2022-04-05T00:00:00.000Z,Hietaniemi,OG24,OG24_10278,65,54,921
2022-04-05T00:00:00.000Z,Hietaniemi,OG30,OG30_10282,94,99,348
2022-04-05T00:00:00.000Z,Hietaniemi,OG31,OG31_10294,56,60,183
2022-04-05T00:00:00.000Z,Hietaniemi,OG41,OG41_10273,50,52,257
2022-04-05T00:00:00.000Z,Hietaniemi,OG70,OG70_10250,19,17,93
2022-04-05T00:00:00.000Z,Hietaniemi,OG80,OG80_10298,53,44,764
2022-04-05T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,0,0,0
2022-04-05T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,25,27,39
2022-04-05T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,15,16,26
2022-04-06T00:00:00.000Z,Hietaniemi,OG10,OG10_10268,28,24,155
2022-04-06T00:00:00.000Z,Hietaniemi,OG23,OG23_10270,79,63,773
2022-04-06T00:00:00.000Z,Hietaniemi,OG24,OG24_10278,129,96,2342
2022-04-06T00:00:00.000Z,Hietaniemi,OG30,OG30_10282,181,162,812
2022-04-06T00:00:00.000Z,Hietaniemi,OG31,OG31_10294,160,140,644
2022-04-06T00:00:00.000Z,Hietaniemi,OG41,OG41_10273,145,121,932
2022-04-06T00:00:00.000Z,Hietaniemi,OG70,OG70_10250,62,53,540
2022-04-06T00:00:00.000Z,Hietaniemi,OG80,OG80_10298,152,108,2899
2022-04-06T00:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_2,29,33,508
2022-04-06T00:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_1,12,14,9
2022-04-06T00:00:00.000Z,Pirkkola,OG23,OGetunoja,176,170,763
2022-04-06T00:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,33,33,441
2022-04-07T00:00:00.000Z,Hietaniemi,OG10,OG10_10268,131,120,540
2022-04-07T00:00:00.000Z,Hietaniemi,OG23,OG23_10270,99,76,1098
2022-04-07T00:00:00.000Z,Hietaniemi,OG24,OG24_10278,78,57,1226
2022-04-07T00:00:00.000Z,Hietaniemi,OG30,OG30_10282,142,121,586
2022-04-07T00:00:00.000Z,Hietaniemi,OG31,OG31_10294,97,96,430
2022-04-07T00:00:00.000Z,Hietaniemi,OG41,OG41_10273,128,109,776
2022-04-07T00:00:00.000Z,Hietaniemi,OG70,OG70_10250,77,53,640
2022-04-07T00:00:00.000Z,Hietaniemi,OG80,OG80_10298,108,76,1582
